Cardio
Date,Exercise,Set,Duration,Speed/Resistance/Distance/Jumps/Sets,Elevation/Avg HR/Incline/Steps,Calories/Laps/Matches,Notes

Exercise
Date,Exercise,Set,Weight,Reps,Notes
"28-Feb-15","air bicycles","2","0.0 kg","140",""
"28-Feb-15","air bicycles","3","0.0 kg","140",""
"28-Feb-15","dip","1","0.0 kg","10",""
"28-Feb-15","dip","2","0.0 kg","10",""
"28-Feb-15","dip","3","0.0 kg","10",""
"28-Feb-15","dip","4","0.0 kg","10",""
"28-Feb-15","dip","5","0.0 kg","10",""
"28-Feb-15","incline barbell bench press","1","52 kg","6",""
"28-Feb-15","incline barbell bench press","2","52 kg","6",""
"28-Feb-15","incline barbell bench press","3","52 kg","6",""
"28-Feb-15","barbell bench press","1","36 kg","12",""
"28-Feb-15","barbell bench press","2","36 kg","10",""
"28-Feb-15","barbell bench press","3","48 kg","4",""
"28-Feb-15","barbell bench press","4","60 kg","6",""
"28-Feb-15","barbell bench press","5","60 kg","6",""
"28-Feb-15","barbell bench press","6","60 kg","6",""
"28-Feb-15","captains chair leg raise","1","0.0 kg","12",""
"28-Feb-15","captains chair leg raise","2","0.0 kg","12",""
"28-Feb-15","captains chair leg raise","3","0.0 kg","12",""
"28-Feb-15","captains chair leg raise","4","0.0 kg","12",""
"28-Feb-15","kneeling cable crunch","1","39.375 kg","12",""
"28-Feb-15","kneeling cable crunch","2","39.375 kg","12",""
"28-Feb-15","kneeling cable crunch","3","39.375 kg","12",""
"28-Feb-15","kneeling cable crunch","4","39.375 kg","12",""

"01-Mar-15","one-arm row","1","18 kg","12",""
"01-Mar-15","one-arm row","2","18 kg","10",""
"01-Mar-15","one-arm row","3","24 kg","4",""
"01-Mar-15","one-arm row","4","32 kg","6",""
"01-Mar-15","one-arm row","5","32 kg","6",""
"01-Mar-15","one-arm row","6","32 kg","6",""
"01-Mar-15","calf raise","1","120 kg","12",""
"01-Mar-15","calf raise","2","120 kg","12",""
"01-Mar-15","calf raise","3","120 kg","12",""
"01-Mar-15","calf raise","4","120 kg","12",""
"01-Mar-15","calf raise","5","120 kg","12",""
"01-Mar-15","calf raise","6","120 kg","12",""
"01-Mar-15","deadlift","1","40 kg","12",""
"01-Mar-15","deadlift","2","40 kg","10",""
"01-Mar-15","deadlift","3","60 kg","4",""
"01-Mar-15","deadlift","4","80 kg","6",""
"01-Mar-15","deadlift","5","80 kg","6",""
"01-Mar-15","deadlift","6","80 kg","6",""
"01-Mar-15","lat pulldown","1","87 kg","6",""
"01-Mar-15","lat pulldown","2","87 kg","6",""
"01-Mar-15","lat pulldown","3","87 kg","6",""

"02-Mar-15","machine shoulder press","1","25 kg","12",""
"02-Mar-15","machine shoulder press","2","25 kg","10",""
"02-Mar-15","machine shoulder press","3","35 kg","4",""
"02-Mar-15","machine shoulder press","4","45 kg","1",""
"02-Mar-15","machine shoulder press","5","47.5 kg","6",""
"02-Mar-15","machine shoulder press","6","47.5 kg","6",""
"02-Mar-15","machine shoulder press","7","47.5 kg","6",""
"02-Mar-15","barbell shrug","1","72 kg","12",""
"02-Mar-15","barbell shrug","2","72 kg","12",""
"02-Mar-15","barbell shrug","3","72 kg","12",""
"02-Mar-15","barbell shrug","4","72 kg","12",""
"02-Mar-15","cable side lateral raise","1","7.5 kg","6",""
"02-Mar-15","cable side lateral raise","2","7.5 kg","6",""
"02-Mar-15","cable side lateral raise","3","7.5 kg","6",""
"02-Mar-15","cable side lateral raise","4","7.5 kg","6",""
"02-Mar-15","rear lateral raise","1","12 kg","6",""
"02-Mar-15","rear lateral raise","2","10 kg","8",""
"02-Mar-15","rear lateral raise","3","10 kg","8",""
"02-Mar-15","rear lateral raise","4","10 kg","8",""
"02-Mar-15","rear lateral raise","5","10 kg","8",""

"04-Mar-15","barbell squat","1","20 kg","12",""
"04-Mar-15","barbell squat","2","20 kg","10",""
"04-Mar-15","barbell squat","3","50 kg","4",""
"04-Mar-15","barbell squat","4","70 kg","1",""
"04-Mar-15","barbell squat","5","70 kg","6",""
"04-Mar-15","barbell squat","6","70 kg","6",""
"04-Mar-15","barbell squat","7","70 kg","6",""
"04-Mar-15","romanian deadlift","1","40 kg","12",""
"04-Mar-15","romanian deadlift","2","40 kg","10",""
"04-Mar-15","romanian deadlift","3","55 kg","8",""
"04-Mar-15","romanian deadlift","4","55 kg","8",""
"04-Mar-15","romanian deadlift","5","55 kg","8",""
"04-Mar-15","romanian deadlift","6","55 kg","8",""
"04-Mar-15","machine leg press","1","125 kg","6",""
"04-Mar-15","machine leg press","2","125 kg","6",""
"04-Mar-15","machine leg press","3","125 kg","6",""
"04-Mar-15","machine leg press","4","125 kg","6",""

"06-Mar-15","air bicycles","1","0.0 kg","150",""
"06-Mar-15","air bicycles","2","0.0 kg","150",""
"06-Mar-15","air bicycles","3","0.0 kg","150",""
"06-Mar-15","cable triceps pushdown","1","18.75 kg","12",""
"06-Mar-15","cable triceps pushdown","2","18.75 kg","10",""
"06-Mar-15","cable triceps pushdown","3","28.75 kg","4",""
"06-Mar-15","cable triceps pushdown","4","38.75 kg","6",""
"06-Mar-15","cable triceps pushdown","5","38.75 kg","6",""
"06-Mar-15","cable triceps pushdown","6","38.75 kg","8",""
"06-Mar-15","cable triceps pushdown","7","38.75 kg","8",""
"06-Mar-15","standing biceps curl","1","35 kg","6",""
"06-Mar-15","standing biceps curl","2","35 kg","6",""
"06-Mar-15","standing biceps curl","3","35 kg","6",""
"06-Mar-15","dumbbell biceps curl","1","8 kg","12",""
"06-Mar-15","dumbbell biceps curl","2","8 kg","10",""
"06-Mar-15","dumbbell biceps curl","3","14 kg","4",""
"06-Mar-15","dumbbell biceps curl","4","16 kg","1",""
"06-Mar-15","dumbbell biceps curl","5","16 kg","6",""
"06-Mar-15","dumbbell biceps curl","6","16 kg","6",""
"06-Mar-15","dumbbell biceps curl","7","16 kg","6",""
"06-Mar-15","lying triceps extension","1","26 kg","12",""
"06-Mar-15","lying triceps extension","2","26 kg","12",""
"06-Mar-15","lying triceps extension","3","26 kg","12",""
"06-Mar-15","lying triceps extension","4","26 kg","12",""
"06-Mar-15","captains chair leg raise","1","0.0 kg","12",""
"06-Mar-15","captains chair leg raise","2","0.0 kg","12",""
"06-Mar-15","captains chair leg raise","3","0.0 kg","12",""
"06-Mar-15","captains chair leg raise","4","0.0 kg","12",""
"06-Mar-15","kneeling cable crunch","1","39.375 kg","12",""
"06-Mar-15","kneeling cable crunch","2","40 kg","12",""
"06-Mar-15","kneeling cable crunch","3","40 kg","12",""
"06-Mar-15","kneeling cable crunch","4","40 kg","12",""

"09-Mar-15","air bicycles","1","0.0 kg","150",""
"09-Mar-15","air bicycles","2","0.0 kg","150",""
"09-Mar-15","air bicycles","3","0.0 kg","150",""
"09-Mar-15","dip","1","0.0 kg","10",""
"09-Mar-15","dip","2","0.0 kg","10",""
"09-Mar-15","dip","3","0.0 kg","10",""
"09-Mar-15","dip","4","0.0 kg","10",""
"09-Mar-15","dip","5","0.0 kg","10",""
"09-Mar-15","incline barbell bench press","1","52 kg","6",""
"09-Mar-15","incline barbell bench press","2","52 kg","6",""
"09-Mar-15","incline barbell bench press","3","52 kg","8","go up"
"09-Mar-15","barbell bench press","1","36 kg","12",""
"09-Mar-15","barbell bench press","2","36 kg","10",""
"09-Mar-15","barbell bench press","3","48 kg","5",""
"09-Mar-15","barbell bench press","4","64 kg","6",""
"09-Mar-15","barbell bench press","5","64 kg","6",""
"09-Mar-15","barbell bench press","6","64 kg","6",""
"09-Mar-15","captains chair leg raise","1","0.0 kg","12",""
"09-Mar-15","captains chair leg raise","2","0.0 kg","12",""
"09-Mar-15","captains chair leg raise","3","0.0 kg","12",""
"09-Mar-15","captains chair leg raise","4","0.0 kg","12",""
"09-Mar-15","kneeling cable crunch","1","40 kg","12",""
"09-Mar-15","kneeling cable crunch","2","40 kg","12",""
"09-Mar-15","kneeling cable crunch","3","40 kg","12",""
"09-Mar-15","kneeling cable crunch","4","40 kg","12",""

"11-Mar-15","one-arm row","1","18 kg","12",""
"11-Mar-15","one-arm row","2","18 kg","10",""
"11-Mar-15","one-arm row","3","22 kg","6","24s in use "
"11-Mar-15","one-arm row","4","32 kg","6",""
"11-Mar-15","one-arm row","5","32 kg","6",""
"11-Mar-15","one-arm row","6","32 kg","6",""
"11-Mar-15","calf raise","1","125 kg","12",""
"11-Mar-15","calf raise","2","125 kg","12",""
"11-Mar-15","calf raise","3","125 kg","12",""
"11-Mar-15","calf raise","4","125 kg","12",""
"11-Mar-15","deadlift","1","40 kg","12",""
"11-Mar-15","deadlift","2","40 kg","10",""
"11-Mar-15","deadlift","3","60 kg","4",""
"11-Mar-15","deadlift","4","80 kg","6",""
"11-Mar-15","deadlift","5","80 kg","6",""
"11-Mar-15","deadlift","6","80 kg","6",""
"11-Mar-15","lat pulldown","1","87 kg","6",""
"11-Mar-15","lat pulldown","2","87 kg","6",""
"11-Mar-15","lat pulldown","3","87 kg","6",""

"12-Mar-15","machine shoulder press","1","25 kg","12",""
"12-Mar-15","machine shoulder press","2","25 kg","10",""
"12-Mar-15","machine shoulder press","3","35 kg","4",""
"12-Mar-15","machine shoulder press","4","45 kg","1",""
"12-Mar-15","machine shoulder press","5","47.5 kg","6",""
"12-Mar-15","machine shoulder press","6","47.5 kg","6",""
"12-Mar-15","machine shoulder press","7","47.5 kg","6",""
"12-Mar-15","barbell shrug","1","72 kg","12",""
"12-Mar-15","barbell shrug","2","72 kg","12",""
"12-Mar-15","barbell shrug","3","72 kg","12",""
"12-Mar-15","barbell shrug","4","72 kg","12",""
"12-Mar-15","cable side lateral raise","1","7.5 kg","6",""
"12-Mar-15","cable side lateral raise","2","7.5 kg","6",""
"12-Mar-15","cable side lateral raise","3","7.5 kg","6",""
"12-Mar-15","cable side lateral raise","4","7.5 kg","6",""
"12-Mar-15","rear lateral raise","1","10 kg","10",""
"12-Mar-15","rear lateral raise","2","10 kg","8",""
"12-Mar-15","rear lateral raise","3","10 kg","8",""
"12-Mar-15","rear lateral raise","4","10 kg","8",""

"13-Mar-15","barbell squat","1","20 kg","12",""
"13-Mar-15","barbell squat","2","20 kg","10",""
"13-Mar-15","barbell squat","3","50 kg","4",""
"13-Mar-15","barbell squat","4","70 kg","6",""
"13-Mar-15","barbell squat","5","70 kg","6",""
"13-Mar-15","barbell squat","6","70 kg","6",""
"13-Mar-15","barbell squat","7","70 kg","6",""
"13-Mar-15","romanian deadlift","1","40 kg","12",""
"13-Mar-15","romanian deadlift","2","40 kg","10",""
"13-Mar-15","romanian deadlift","3","55 kg","8",""
"13-Mar-15","romanian deadlift","4","55 kg","8",""
"13-Mar-15","romanian deadlift","5","55 kg","8",""
"13-Mar-15","romanian deadlift","6","55 kg","8",""
"13-Mar-15","machine leg press","1","130 kg","6",""
"13-Mar-15","machine leg press","2","130 kg","6",""
"13-Mar-15","machine leg press","3","130 kg","6",""
"13-Mar-15","machine leg press","4","130 kg","6",""

"18-Mar-15","air bicycles","1","0.0 kg","150",""
"18-Mar-15","air bicycles","2","0.0 kg","150",""
"18-Mar-15","air bicycles","3","0.0 kg","150",""
"18-Mar-15","cable triceps pushdown","1","18.75 kg","12",""
"18-Mar-15","cable triceps pushdown","2","18.75 kg","10",""
"18-Mar-15","cable triceps pushdown","3","28.75 kg","4",""
"18-Mar-15","cable triceps pushdown","4","39.5 kg","6",""
"18-Mar-15","cable triceps pushdown","5","39.5 kg","6",""
"18-Mar-15","cable triceps pushdown","6","39.5 kg","6",""
"18-Mar-15","standing biceps curl","1","35 kg","6",""
"18-Mar-15","standing biceps curl","2","35 kg","6",""
"18-Mar-15","standing biceps curl","3","35 kg","5",""
"18-Mar-15","dumbbell biceps curl","1","8 kg","12",""
"18-Mar-15","dumbbell biceps curl","2","8 kg","10",""
"18-Mar-15","dumbbell biceps curl","3","14 kg","4",""
"18-Mar-15","dumbbell biceps curl","4","16 kg","1",""
"18-Mar-15","dumbbell biceps curl","5","16 kg","6",""
"18-Mar-15","dumbbell biceps curl","6","16 kg","6",""
"18-Mar-15","dumbbell biceps curl","7","16 kg","6",""
"18-Mar-15","lying triceps extension","1","26 kg","12",""
"18-Mar-15","lying triceps extension","2","26 kg","12",""
"18-Mar-15","lying triceps extension","3","26 kg","12",""
"18-Mar-15","lying triceps extension","4","26 kg","12",""
"18-Mar-15","captains chair leg raise","1","0.0 kg","12",""
"18-Mar-15","captains chair leg raise","2","0.0 kg","12",""
"18-Mar-15","captains chair leg raise","3","0.0 kg","12",""
"18-Mar-15","captains chair leg raise","4","0.0 kg","12",""
"18-Mar-15","kneeling cable crunch","1","39.5 kg","12",""
"18-Mar-15","kneeling cable crunch","2","39.5 kg","12",""
"18-Mar-15","kneeling cable crunch","3","39.5 kg","12",""
"18-Mar-15","kneeling cable crunch","4","39.5 kg","12",""

"20-Mar-15","air bicycles","1","0.0 kg","150",""
"20-Mar-15","air bicycles","2","0.0 kg","150",""
"20-Mar-15","air bicycles","3","0.0 kg","150",""
"20-Mar-15","dip","1","0.0 kg","10",""
"20-Mar-15","dip","2","0.0 kg","10",""
"20-Mar-15","dip","3","0.0 kg","10",""
"20-Mar-15","dip","4","0.0 kg","10",""
"20-Mar-15","dip","5","0.0 kg","10",""
"20-Mar-15","incline barbell bench press","1","56 kg","6",""
"20-Mar-15","incline barbell bench press","2","56 kg","6",""
"20-Mar-15","incline barbell bench press","3","56 kg","6",""
"20-Mar-15","barbell bench press","1","36 kg","12",""
"20-Mar-15","barbell bench press","2","36 kg","10",""
"20-Mar-15","barbell bench press","3","52 kg","4",""
"20-Mar-15","barbell bench press","4","64 kg","6",""
"20-Mar-15","barbell bench press","5","64 kg","6",""
"20-Mar-15","barbell bench press","6","64 kg","6",""
"20-Mar-15","captains chair leg raise","1","0.0 kg","12",""
"20-Mar-15","captains chair leg raise","2","0.0 kg","12",""
"20-Mar-15","captains chair leg raise","3","0.0 kg","12",""
"20-Mar-15","captains chair leg raise","4","0.0 kg","12",""
"20-Mar-15","captains chair leg raise","5","0.0 kg","12",""
"20-Mar-15","kneeling cable crunch","1","39.5 kg","12",""
"20-Mar-15","kneeling cable crunch","2","39.5 kg","12",""
"20-Mar-15","kneeling cable crunch","3","39.5 kg","12",""
"20-Mar-15","kneeling cable crunch","4","39.5 kg","12",""

"22-Mar-15","one-arm row","1","18 kg","12",""
"22-Mar-15","one-arm row","2","18 kg","10",""
"22-Mar-15","one-arm row","3","22 kg","4",""
"22-Mar-15","one-arm row","4","32 kg","6",""
"22-Mar-15","one-arm row","5","32 kg","6",""
"22-Mar-15","one-arm row","6","32 kg","6",""
"22-Mar-15","calf raise","1","130 kg","12",""
"22-Mar-15","calf raise","2","130 kg","12",""
"22-Mar-15","calf raise","3","130 kg","12",""
"22-Mar-15","calf raise","4","130 kg","12",""
"22-Mar-15","deadlift","1","40 kg","12",""
"22-Mar-15","deadlift","2","40 kg","10",""
"22-Mar-15","deadlift","3","60 kg","4",""
"22-Mar-15","deadlift","4","80 kg","6",""
"22-Mar-15","deadlift","5","80 kg","6",""
"22-Mar-15","deadlift","6","80 kg","6",""
"22-Mar-15","deadlift","7","90 kg","6",""
"22-Mar-15","lat pulldown","1","89 kg","6",""
"22-Mar-15","lat pulldown","2","89 kg","6",""
"22-Mar-15","lat pulldown","3","89 kg","5","failed"

"23-Mar-15","machine shoulder press","1","25 kg","12",""
"23-Mar-15","machine shoulder press","2","25 kg","10",""
"23-Mar-15","machine shoulder press","3","35 kg","4",""
"23-Mar-15","machine shoulder press","4","45 kg","1",""
"23-Mar-15","machine shoulder press","5","47.5 kg","6",""
"23-Mar-15","machine shoulder press","6","47.5 kg","6",""
"23-Mar-15","machine shoulder press","7","47.5 kg","6",""
"23-Mar-15","barbell shrug","1","72 kg","12",""
"23-Mar-15","barbell shrug","2","72 kg","12",""
"23-Mar-15","barbell shrug","3","72 kg","12",""
"23-Mar-15","barbell shrug","4","72 kg","12",""
"23-Mar-15","cable side lateral raise","1","7.5 kg","6",""
"23-Mar-15","cable side lateral raise","2","7.5 kg","6",""
"23-Mar-15","cable side lateral raise","3","7.5 kg","6",""
"23-Mar-15","cable side lateral raise","4","7.5 kg","6",""
"23-Mar-15","rear lateral raise","1","8 kg","10",""
"23-Mar-15","rear lateral raise","2","10 kg","8",""
"23-Mar-15","rear lateral raise","3","10 kg","8",""
"23-Mar-15","rear lateral raise","4","8 kg","10",""

"25-Mar-15","barbell squat","1","20 kg","12",""
"25-Mar-15","barbell squat","2","20 kg","10",""
"25-Mar-15","barbell squat","3","50 kg","4",""
"25-Mar-15","barbell squat","4","70 kg","6",""
"25-Mar-15","barbell squat","5","70 kg","6",""
"25-Mar-15","barbell squat","6","70 kg","6",""
"25-Mar-15","barbell squat","7","70 kg","6",""
"25-Mar-15","romanian deadlift","1","40 kg","12",""
"25-Mar-15","romanian deadlift","2","40 kg","10",""
"25-Mar-15","romanian deadlift","3","55 kg","8",""
"25-Mar-15","romanian deadlift","4","55 kg","8",""
"25-Mar-15","romanian deadlift","5","55 kg","8",""
"25-Mar-15","romanian deadlift","6","55 kg","8",""
"25-Mar-15","machine leg press","1","65 kg","12",""
"25-Mar-15","machine leg press","2","65 kg","10",""
"25-Mar-15","machine leg press","3","95 kg","4",""
"25-Mar-15","machine leg press","4","115 kg","1",""
"25-Mar-15","machine leg press","5","132.5 kg","6",""
"25-Mar-15","machine leg press","6","132.5 kg","6",""
"25-Mar-15","machine leg press","7","132.5 kg","6",""
"25-Mar-15","machine leg press","8","132.5 kg","6",""

"27-Mar-15","air bicycles","1","0.0 kg","150",""
"27-Mar-15","air bicycles","2","0.0 kg","150",""
"27-Mar-15","air bicycles","3","0.0 kg","150",""
"27-Mar-15","cable triceps pushdown","1","18.75 kg","12",""
"27-Mar-15","cable triceps pushdown","2","18.75 kg","10",""
"27-Mar-15","cable triceps pushdown","3","28.75 kg","4",""
"27-Mar-15","cable triceps pushdown","4","39.5 kg","6",""
"27-Mar-15","cable triceps pushdown","5","39.5 kg","6",""
"27-Mar-15","cable triceps pushdown","6","39.5 kg","6",""
"27-Mar-15","standing single-arm triceps extension","1","12 kg","12",""
"27-Mar-15","standing single-arm triceps extension","2","10 kg","12",""
"27-Mar-15","standing single-arm triceps extension","3","10 kg","12",""
"27-Mar-15","standing single-arm triceps extension","4","10 kg","12",""
"27-Mar-15","standing biceps curl","1","35 kg","6",""
"27-Mar-15","standing biceps curl","2","35 kg","6",""
"27-Mar-15","standing biceps curl","3","35 kg","6",""
"27-Mar-15","dumbbell biceps curl","1","8 kg","12",""
"27-Mar-15","dumbbell biceps curl","2","8 kg","10",""
"27-Mar-15","dumbbell biceps curl","3","14 kg","4",""
"27-Mar-15","dumbbell biceps curl","4","18 kg","6",""
"27-Mar-15","dumbbell biceps curl","5","18 kg","6","failed"
"27-Mar-15","dumbbell biceps curl","6","16 kg","6",""
"27-Mar-15","captains chair leg raise","1","0.0 kg","12",""
"27-Mar-15","captains chair leg raise","2","0.0 kg","12",""
"27-Mar-15","captains chair leg raise","3","0.0 kg","12",""
"27-Mar-15","captains chair leg raise","4","0.0 kg","12",""
"27-Mar-15","kneeling cable crunch","1","39.5 kg","12",""
"27-Mar-15","kneeling cable crunch","2","39.5 kg","12",""
"27-Mar-15","kneeling cable crunch","3","39.5 kg","12",""
"27-Mar-15","kneeling cable crunch","4","39.5 kg","12",""

"28-Mar-15","dip","1","0.0 kg","10",""
"28-Mar-15","dip","2","0.0 kg","10",""
"28-Mar-15","dip","3","0.0 kg","10",""
"28-Mar-15","dip","4","0.0 kg","10",""
"28-Mar-15","dip","5","0.0 kg","10",""
"28-Mar-15","incline barbell bench press","1","56 kg","6",""
"28-Mar-15","incline barbell bench press","2","56 kg","6",""
"28-Mar-15","incline barbell bench press","3","56 kg","6",""
"28-Mar-15","barbell bench press","1","36 kg","12",""
"28-Mar-15","barbell bench press","2","36 kg","10",""
"28-Mar-15","barbell bench press","3","52 kg","4",""
"28-Mar-15","barbell bench press","4","64 kg","6",""
"28-Mar-15","barbell bench press","5","64 kg","6",""
"28-Mar-15","barbell bench press","6","64 kg","5","FAILED"
"28-Mar-15","barbell bench press","7","64 kg","6",""

"29-Mar-15","chinup","1","0 kg","10",""
"29-Mar-15","chinup","2","0 kg","10",""
"29-Mar-15","chinup","3","0 kg","8",""
"29-Mar-15","chinup","4","0 kg","5",""
"29-Mar-15","one-arm row","1","18 kg","12",""
"29-Mar-15","one-arm row","2","18 kg","10",""
"29-Mar-15","one-arm row","3","24 kg","4",""
"29-Mar-15","one-arm row","4","32 kg","6",""
"29-Mar-15","one-arm row","5","32 kg","6",""
"29-Mar-15","one-arm row","6","32 kg","6",""
"29-Mar-15","calf raise","1","130 kg","12",""
"29-Mar-15","calf raise","2","130 kg","12",""
"29-Mar-15","calf raise","3","130 kg","12",""
"29-Mar-15","calf raise","4","130 kg","12",""
"29-Mar-15","deadlift","1","40 kg","12",""
"29-Mar-15","deadlift","2","40 kg","10",""
"29-Mar-15","deadlift","3","60 kg","4",""
"29-Mar-15","deadlift","4","90 kg","6",""
"29-Mar-15","deadlift","5","90 kg","6",""
"29-Mar-15","deadlift","6","90 kg","6",""
"29-Mar-15","deadlift","7","90 kg","4","lost grip!"
"29-Mar-15","assisted pull-up","1","0.0 kg","10",""

"30-Mar-15","rear lateral raise","1","8 kg","10",""
"30-Mar-15","rear lateral raise","2","8 kg","10",""
"30-Mar-15","rear lateral raise","3","8 kg","10",""
"30-Mar-15","rear lateral raise","4","8 kg","10",""
"30-Mar-15","air bicycles","1","0.0 kg","150",""
"30-Mar-15","air bicycles","2","0.0 kg","150",""
"30-Mar-15","air bicycles","3","0.0 kg","150",""
"30-Mar-15","machine shoulder press","1","25 kg","12",""
"30-Mar-15","machine shoulder press","2","25 kg","10",""
"30-Mar-15","machine shoulder press","3","35 kg","4",""
"30-Mar-15","machine shoulder press","4","45 kg","1",""
"30-Mar-15","machine shoulder press","5","47.5 kg","6",""
"30-Mar-15","machine shoulder press","6","47.5 kg","6",""
"30-Mar-15","machine shoulder press","7","47.5 kg","6",""
"30-Mar-15","barbell shrug","1","72 kg","12",""
"30-Mar-15","barbell shrug","2","72 kg","12",""
"30-Mar-15","barbell shrug","3","72 kg","12",""
"30-Mar-15","barbell shrug","4","72 kg","12",""
"30-Mar-15","cable side lateral raise","1","7.5 kg","6",""
"30-Mar-15","cable side lateral raise","2","7.5 kg","6",""
"30-Mar-15","cable side lateral raise","3","7.5 kg","6",""
"30-Mar-15","cable side lateral raise","4","7.5 kg","8",""
"30-Mar-15","captains chair leg raise","1","0.0 kg","12",""
"30-Mar-15","captains chair leg raise","2","0.0 kg","12",""
"30-Mar-15","captains chair leg raise","3","0.0 kg","12",""
"30-Mar-15","captains chair leg raise","4","0.0 kg","12",""
"30-Mar-15","kneeling cable crunch","1","39.5 kg","12",""
"30-Mar-15","kneeling cable crunch","2","39.5 kg","12",""
"30-Mar-15","kneeling cable crunch","3","39.5 kg","12",""
"30-Mar-15","kneeling cable crunch","4","39.5 kg","12",""

"01-Apr-15","barbell squat","1","20 kg","12",""
"01-Apr-15","barbell squat","2","20 kg","10",""
"01-Apr-15","barbell squat","3","50 kg","4",""
"01-Apr-15","barbell squat","4","70 kg","6",""
"01-Apr-15","barbell squat","5","70 kg","6",""
"01-Apr-15","barbell squat","6","70 kg","6",""
"01-Apr-15","romanian deadlift","1","40 kg","12",""
"01-Apr-15","romanian deadlift","2","40 kg","10",""
"01-Apr-15","romanian deadlift","3","55 kg","8",""
"01-Apr-15","romanian deadlift","4","55 kg","8",""
"01-Apr-15","romanian deadlift","5","55 kg","8",""
"01-Apr-15","romanian deadlift","6","55 kg","8",""
"01-Apr-15","machine leg press","1","65 kg","12",""
"01-Apr-15","machine leg press","2","65 kg","10",""
"01-Apr-15","machine leg press","3","95 kg","4",""
"01-Apr-15","machine leg press","4","115 kg","1",""
"01-Apr-15","machine leg press","5","132.5 kg","6",""
"01-Apr-15","machine leg press","6","132.5 kg","6",""
"01-Apr-15","machine leg press","7","132.5 kg","6",""
"01-Apr-15","machine leg press","8","132.5 kg","6",""

"03-Apr-15","air bicycles","1","0.0 kg","150",""
"03-Apr-15","air bicycles","2","0.0 kg","150",""
"03-Apr-15","air bicycles","3","0.0 kg","150",""
"03-Apr-15","cable triceps pushdown","1","18.75 kg","12",""
"03-Apr-15","cable triceps pushdown","2","18.75 kg","10",""
"03-Apr-15","cable triceps pushdown","3","28.75 kg","4",""
"03-Apr-15","cable triceps pushdown","4","39.5 kg","6",""
"03-Apr-15","cable triceps pushdown","5","39.5 kg","6",""
"03-Apr-15","cable triceps pushdown","6","39.5 kg","6",""
"03-Apr-15","standing biceps curl","1","35 kg","6",""
"03-Apr-15","standing biceps curl","2","35 kg","6",""
"03-Apr-15","standing biceps curl","3","35 kg","6",""
"03-Apr-15","dumbbell biceps curl","1","8 kg","12",""
"03-Apr-15","dumbbell biceps curl","2","8 kg","10",""
"03-Apr-15","dumbbell biceps curl","3","14 kg","4",""
"03-Apr-15","dumbbell biceps curl","4","16 kg","1",""
"03-Apr-15","dumbbell biceps curl","5","18 kg","6",""
"03-Apr-15","dumbbell biceps curl","6","18 kg","6",""
"03-Apr-15","dumbbell biceps curl","7","18 kg","6",""
"03-Apr-15","lying triceps extension","1","26 kg","12",""
"03-Apr-15","lying triceps extension","2","26 kg","12",""
"03-Apr-15","lying triceps extension","3","26 kg","12",""
"03-Apr-15","lying triceps extension","4","26 kg","12",""
"03-Apr-15","captains chair leg raise","1","0.0 kg","12",""
"03-Apr-15","captains chair leg raise","2","0.0 kg","12",""
"03-Apr-15","captains chair leg raise","3","0.0 kg","12",""
"03-Apr-15","captains chair leg raise","4","0.0 kg","12",""
"03-Apr-15","kneeling cable crunch","1","39.5 kg","12",""
"03-Apr-15","kneeling cable crunch","2","39.5 kg","12",""
"03-Apr-15","kneeling cable crunch","3","39.5 kg","12",""
"03-Apr-15","kneeling cable crunch","4","39.5 kg","12",""

"06-Apr-15","air bicycles","1","0.0 kg","150",""
"06-Apr-15","air bicycles","2","0.0 kg","150",""
"06-Apr-15","air bicycles","3","0.0 kg","150",""
"06-Apr-15","dip","1","0.0 kg","10",""
"06-Apr-15","dip","2","0.0 kg","10",""
"06-Apr-15","dip","3","0.0 kg","10",""
"06-Apr-15","dip","4","0.0 kg","10",""
"06-Apr-15","dip","5","0.0 kg","10",""
"06-Apr-15","incline barbell bench press","1","56 kg","6",""
"06-Apr-15","incline barbell bench press","2","56 kg","6",""
"06-Apr-15","incline barbell bench press","3","56 kg","5","failed"
"06-Apr-15","incline barbell bench press","4","56 kg","6",""
"06-Apr-15","barbell bench press","1","36 kg","12",""
"06-Apr-15","barbell bench press","2","36 kg","10",""
"06-Apr-15","barbell bench press","3","52 kg","4",""
"06-Apr-15","barbell bench press","4","68 kg","6",""
"06-Apr-15","barbell bench press","5","68 kg","6",""
"06-Apr-15","barbell bench press","6","68 kg","6",""
"06-Apr-15","captains chair leg raise","1","0.0 kg","12",""
"06-Apr-15","captains chair leg raise","2","0.0 kg","12",""
"06-Apr-15","captains chair leg raise","3","0.0 kg","12",""
"06-Apr-15","captains chair leg raise","4","0.0 kg","12",""
"06-Apr-15","kneeling cable crunch","1","39.5 kg","12",""
"06-Apr-15","kneeling cable crunch","2","39.5 kg","12",""
"06-Apr-15","kneeling cable crunch","3","39.5 kg","12",""
"06-Apr-15","kneeling cable crunch","4","39.5 kg","12",""

"09-Apr-15","one-arm row","1","20 kg","12",""
"09-Apr-15","one-arm row","2","20 kg","10",""
"09-Apr-15","one-arm row","3","24 kg","4",""
"09-Apr-15","one-arm row","4","32 kg","6",""
"09-Apr-15","one-arm row","5","32 kg","6",""
"09-Apr-15","one-arm row","6","32 kg","6",""
