Cardio
Date,Exercise,Set,Duration,Speed/Resistance/Distance/Jumps/Sets,Elevation/Avg HR/Incline/Steps,Calories/Laps/Matches,Notes

Exercise
Date,Exercise,Set,Weight,Reps,Notes
"06-Oct-14","captains chair leg raise","2","0.0 kg","8",""
"06-Oct-14","captains chair leg raise","3","0.0 kg","8",""
"06-Oct-14","captains chair leg raise","4","0.0 kg","8",""
"06-Oct-14","kneeling cable crunch","1","28.75 kg","8",""
"06-Oct-14","kneeling cable crunch","2","28.75 kg","8",""
"06-Oct-14","kneeling cable crunch","3","28.75 kg","8",""
"06-Oct-14","kneeling cable crunch","4","28.75 kg","8",""

"07-Oct-14","one-arm row","1","18 kg","8",""
"07-Oct-14","one-arm row","2","18 kg","8",""
"07-Oct-14","one-arm row","3","18 kg","12",""
"07-Oct-14","one-arm row","4","24 kg","6",""
"07-Oct-14","one-arm row","5","24 kg","6",""
"07-Oct-14","one-arm row","6","24 kg","6",""
"07-Oct-14","calf raise","1","80 kg","12","using smith"
"07-Oct-14","calf raise","2","110 kg","12","using smith"
"07-Oct-14","calf raise","3","110 kg","12","using smith"
"07-Oct-14","calf raise","4","110 kg","12","using smith"
"07-Oct-14","deadlift","1","40 kg","8",""
"07-Oct-14","deadlift","2","40 kg","8",""
"07-Oct-14","deadlift","3","40 kg","12",""
"07-Oct-14","deadlift","4","55 kg","6",""
"07-Oct-14","deadlift","5","55 kg","6",""
"07-Oct-14","deadlift","6","55 kg","6",""
"07-Oct-14","lat pulldown","1","75 kg","6",""
"07-Oct-14","lat pulldown","2","75 kg","6",""
"07-Oct-14","lat pulldown","3","75 kg","6",""
"07-Oct-14","lat pulldown","4","75 kg","6",""

"08-Oct-14","bar military press","1","20 kg","8",""
"08-Oct-14","bar military press","2","20 kg","8",""
"08-Oct-14","bar military press","3","20 kg","12",""
"08-Oct-14","bar military press","4","35 kg","6",""
"08-Oct-14","bar military press","5","35 kg","6",""
"08-Oct-14","bar military press","6","35 kg","6",""
"08-Oct-14","barbell shrug","1","55 kg","12",""
"08-Oct-14","barbell shrug","2","55 kg","12",""
"08-Oct-14","barbell shrug","3","55 kg","12",""
"08-Oct-14","barbell shrug","4","55 kg","12",""
"08-Oct-14","cable side lateral raise","1","8 kg","8","dumbells"
"08-Oct-14","cable side lateral raise","2","8 kg","8","dumbells"
"08-Oct-14","cable side lateral raise","3","8 kg","8","right shoulder hurts. stopped on 6. "
"08-Oct-14","cable side lateral raise","4","6 kg","8","hurting"
"08-Oct-14","barbell rear delt raise","1","30 kg","8",""
"08-Oct-14","barbell rear delt raise","2","30 kg","8",""
"08-Oct-14","barbell rear delt raise","3","30 kg","8",""
"08-Oct-14","barbell rear delt raise","4","30 kg","8",""

"09-Oct-14","machine leg press","1","105 kg","6",""
"09-Oct-14","machine leg press","2","105 kg","6",""
"09-Oct-14","machine leg press","3","105 kg","6",""
"09-Oct-14","machine leg press","4","105 kg","6",""
"09-Oct-14","barbell squat","1","0 kg","8",""
"09-Oct-14","barbell squat","2","0 kg","8",""
"09-Oct-14","barbell squat","3","20 kg","12",""
"09-Oct-14","barbell squat","4","40 kg","6",""
"09-Oct-14","barbell squat","5","40 kg","6",""
"09-Oct-14","barbell squat","6","40 kg","6",""
"09-Oct-14","romanian deadlift","1","55 kg","8",""
